ticket,customer_id,complaint_category,complaint_date,severity
TICKET002236,CUST022079,Poor Customer Service,2024-07-21,8
TICKET002237,CUST043554,Incorrect Charges,2025-03-30,5
TICKET002238,CUST012140,Incorrect Charges,2025-04-17,4
TICKET002239,CUST053691,Delayed Refund,2024-07-07,7
TICKET002240,CUST014060,Unauthorized Transaction,2025-01-25,7
TICKET002241,CUST093936,Delayed Refund,2024-05-23,7
TICKET002242,CUST032197,Unauthorized Transaction,2024-09-09,1
TICKET002243,CUST000114,Unauthorized Transaction,2024-08-30,3
TICKET002244,CUST021109,Delayed Refund,2024-05-24,1
TICKET002245,CUST058208,ATM Withdrawal Failed,2024-10-09,1
TICKET002246,CUST090385,Incorrect Charges,2024-12-02,9
TICKET002247,CUST076160,Loan Application Rejected,2024-07-19,3
TICKET002248,CUST066059,Loan Application Rejected,2024-12-29,1
TICKET002249,CUST063399,ATM Withdrawal Failed,2024-12-01,3
TICKET002250,CUST029852,Poor Customer Service,2024-09-02,6
TICKET002251,CUST063021,Poor Customer Service,2024-11-18,8
TICKET002252,CUST015290,ATM Withdrawal Failed,2024-05-30,8
TICKET002253,CUST074465,Loan Application Rejected,2024-10-11,9
TICKET002254,CUST080654,KYC Verification Delay,2024-10-21,1
TICKET002255,CUST096741,Account Locked,2024-12-11,0
TICKET002256,CUST096140,Loan Application Rejected,2025-03-02,8
TICKET002257,CUST052564,Incorrect Charges,2024-08-30,3
TICKET002258,CUST079192,Poor Customer Service,2025-02-27,9
TICKET002259,CUST082240,Unauthorized Transaction,2024-12-11,5
TICKET002260,CUST086801,KYC Verification Delay,2024-12-23,9
TICKET002261,CUST015491,KYC Verification Delay,2024-10-28,5
TICKET002262,CUST076300,Mobile App Issues,2025-03-02,6
TICKET002263,CUST060393,Unauthorized Transaction,2024-12-31,10
TICKET002264,CUST063019,Delayed Refund,2024-06-21,4
TICKET002265,CUST019690,Mobile App Issues,2024-10-16,10
TICKET002266,CUST025238,KYC Verification Delay,2024-07-12,7
TICKET002267,CUST064068,Delayed Refund,2024-09-17,3
TICKET002268,CUST034776,Delayed Refund,2024-06-05,8
TICKET002269,CUST078564,Incorrect Charges,2025-04-18,6
TICKET002270,CUST070524,Unauthorized Transaction,2024-07-13,8
TICKET002271,CUST088274,Unauthorized Transaction,2024-09-28,7
TICKET002272,CUST058219,Loan Application Rejected,2024-11-15,4
TICKET002273,CUST036436,Card Not Working,2024-12-18,4
TICKET002274,CUST070009,Unauthorized Transaction,2025-02-03,5
TICKET002275,CUST049809,Unauthorized Transaction,2024-09-04,4
TICKET002276,CUST043034,Loan Application Rejected,2024-06-09,1
TICKET002277,CUST009375,Card Not Working,2024-06-30,5
TICKET002278,CUST024724,KYC Verification Delay,2024-06-21,6
TICKET002279,CUST025831,Unauthorized Transaction,2024-11-18,4
TICKET002280,CUST059403,Mobile App Issues,2024-08-01,9
TICKET002281,CUST032665,Card Not Working,2024-11-05,10
TICKET002282,CUST001957,KYC Verification Delay,2025-03-02,4
TICKET002283,CUST041149,Mobile App Issues,2024-08-25,10
TICKET002284,CUST085780,Card Not Working,2024-12-16,2
TICKET002285,CUST002171,Mobile App Issues,2024-10-06,10
TICKET002286,CUST074218,Poor Customer Service,2024-07-24,2
TICKET002287,CUST073368,Delayed Refund,2024-06-04,5
TICKET002288,CUST054960,Unauthorized Transaction,2024-08-05,8
TICKET002289,CUST097290,Unauthorized Transaction,2024-09-15,9
TICKET002290,CUST041456,Poor Customer Service,2024-10-21,5
TICKET002291,CUST080941,Delayed Refund,2025-04-10,8
TICKET002292,CUST083473,Poor Customer Service,2024-08-14,9
TICKET002293,CUST045353,Unauthorized Transaction,2024-09-26,6
TICKET002294,CUST042706,Account Locked,2025-04-04,7
TICKET002295,CUST003233,Delayed Refund,2024-07-29,3
TICKET002296,CUST094201,Incorrect Charges,2025-04-23,9
TICKET002297,CUST083567,Incorrect Charges,2025-04-26,1
TICKET002298,CUST052368,Mobile App Issues,2024-11-10,3
TICKET002299,CUST023143,KYC Verification Delay,2025-01-13,10
TICKET002300,CUST078920,KYC Verification Delay,2025-03-20,7
TICKET002301,CUST090413,Loan Application Rejected,2024-06-14,5
TICKET002302,CUST034729,Poor Customer Service,2024-07-05,4
TICKET002303,CUST021969,KYC Verification Delay,2025-01-28,5
TICKET002304,CUST059339,Incorrect Charges,2024-06-21,10
TICKET002305,CUST086667,Delayed Refund,2024-05-08,0
TICKET002306,CUST037912,Incorrect Charges,2025-05-02,4
TICKET002307,CUST024614,Incorrect Charges,2025-04-23,6
TICKET002308,CUST003394,Delayed Refund,2025-04-14,4
TICKET002309,CUST026547,Mobile App Issues,2024-12-15,1
TICKET002310,CUST024951,ATM Withdrawal Failed,2025-02-18,4
TICKET002311,CUST099271,ATM Withdrawal Failed,2024-12-10,7
TICKET002312,CUST033594,KYC Verification Delay,2025-01-12,6
TICKET002313,CUST099251,Unauthorized Transaction,2024-11-18,1
TICKET002314,CUST094712,Mobile App Issues,2025-02-01,10
TICKET002315,CUST004492,ATM Withdrawal Failed,2025-01-27,10
TICKET002316,CUST040034,Unauthorized Transaction,2024-11-07,0
TICKET002317,CUST013369,Card Not Working,2024-09-16,6
TICKET002318,CUST042260,ATM Withdrawal Failed,2024-08-20,2
TICKET002319,CUST026621,Loan Application Rejected,2025-04-23,7
TICKET002320,CUST035673,KYC Verification Delay,2024-08-12,2
TICKET002321,CUST005256,Account Locked,2025-05-02,6
TICKET002322,CUST071436,Loan Application Rejected,2025-01-30,10
TICKET002323,CUST030442,Mobile App Issues,2024-09-13,4
TICKET002324,CUST013316,Loan Application Rejected,2024-05-13,0
TICKET002325,CUST067065,Unauthorized Transaction,2024-06-24,3
TICKET002326,CUST068524,Mobile App Issues,2024-09-09,1
TICKET002327,CUST071576,Unauthorized Transaction,2024-08-11,6
TICKET002328,CUST049578,Loan Application Rejected,2024-06-13,9
TICKET002329,CUST045260,Poor Customer Service,2025-02-05,7
TICKET002330,CUST050780,Account Locked,2024-11-18,7
TICKET002331,CUST052795,Card Not Working,2024-08-05,0
TICKET002332,CUST010045,Delayed Refund,2025-02-27,9
TICKET002333,CUST043542,Loan Application Rejected,2024-05-29,4
TICKET002334,CUST014546,Poor Customer Service,2024-10-06,3
TICKET002335,CUST010491,Mobile App Issues,2024-08-07,3
TICKET002336,CUST097685,Delayed Refund,2025-03-28,10
TICKET002337,CUST000690,Account Locked,2025-04-19,2
TICKET002338,CUST080227,Incorrect Charges,2024-12-27,2
TICKET002339,CUST006825,ATM Withdrawal Failed,2024-12-08,7
TICKET002340,CUST076787,Unauthorized Transaction,2024-08-12,3
TICKET002341,CUST095369,Account Locked,2024-08-11,6
TICKET002342,CUST019562,Unauthorized Transaction,2025-01-06,1
TICKET002343,CUST099130,Account Locked,2024-05-11,8
TICKET002344,CUST086689,KYC Verification Delay,2025-04-03,6
TICKET002345,CUST026360,KYC Verification Delay,2024-08-13,6
TICKET002346,CUST072399,Unauthorized Transaction,2025-04-24,6
TICKET002347,CUST069993,Delayed Refund,2024-09-14,4
TICKET002348,CUST071866,KYC Verification Delay,2025-03-05,6
TICKET002349,CUST029655,Incorrect Charges,2025-03-01,8
TICKET002350,CUST007658,Poor Customer Service,2024-05-20,0
TICKET002351,CUST057365,Mobile App Issues,2024-07-07,8
TICKET002352,CUST007006,KYC Verification Delay,2024-05-06,5
TICKET002353,CUST008260,Card Not Working,2024-08-19,10
TICKET002354,CUST072517,KYC Verification Delay,2025-01-14,0
TICKET002355,CUST088015,Poor Customer Service,2025-02-01,7
TICKET002356,CUST069474,Mobile App Issues,2024-11-16,3
TICKET002357,CUST030292,Mobile App Issues,2024-05-23,7
TICKET002358,CUST069997,Poor Customer Service,2024-09-15,3
TICKET002359,CUST053018,Incorrect Charges,2024-08-22,1
TICKET002360,CUST025634,Mobile App Issues,2024-11-05,9
TICKET002361,CUST075794,Mobile App Issues,2024-06-22,7
TICKET002362,CUST048982,Account Locked,2024-09-18,4
TICKET002363,CUST076640,Incorrect Charges,2025-04-17,4
TICKET002364,CUST053514,Account Locked,2025-03-16,2
TICKET002365,CUST008381,Card Not Working,2024-05-26,8
TICKET002366,CUST009549,Account Locked,2025-02-19,10
TICKET002367,CUST093550,Account Locked,2024-07-16,4
TICKET002368,CUST062261,Card Not Working,2024-08-19,0
TICKET002369,CUST075204,Mobile App Issues,2024-07-16,9
TICKET002370,CUST015567,Account Locked,2024-08-15,9
TICKET002371,CUST042315,Delayed Refund,2025-01-30,6
TICKET002372,CUST013180,Unauthorized Transaction,2025-04-30,2
TICKET002373,CUST043980,Delayed Refund,2024-11-08,1
TICKET002374,CUST066143,Account Locked,2024-11-06,3
TICKET002375,CUST075232,ATM Withdrawal Failed,2025-02-16,10
TICKET002376,CUST073958,Incorrect Charges,2024-10-11,8
TICKET002377,CUST018442,Loan Application Rejected,2024-06-24,8
TICKET002378,CUST047343,Delayed Refund,2025-04-09,3
TICKET002379,CUST024622,Poor Customer Service,2024-09-12,10
TICKET002380,CUST031958,Account Locked,2025-04-14,0
TICKET002381,CUST074536,Card Not Working,2024-06-01,2
TICKET002382,CUST048741,Mobile App Issues,2024-08-03,0
TICKET002383,CUST038918,Mobile App Issues,2025-01-31,8
TICKET002384,CUST064675,Delayed Refund,2025-03-10,8
TICKET002385,CUST034495,Mobile App Issues,2024-07-07,9
TICKET002386,CUST084664,Mobile App Issues,2025-03-26,8
TICKET002387,CUST014292,Loan Application Rejected,2025-03-13,4
TICKET002388,CUST065105,Account Locked,2024-08-04,5
TICKET002389,CUST020325,KYC Verification Delay,2025-03-08,6
TICKET002390,CUST010679,Unauthorized Transaction,2024-08-12,9
TICKET002391,CUST056956,Delayed Refund,2024-09-01,5
TICKET002392,CUST040993,Loan Application Rejected,2024-09-28,6
TICKET002393,CUST091494,Mobile App Issues,2024-08-26,8
TICKET002394,CUST025154,Account Locked,2024-12-01,3
TICKET002395,CUST097134,Mobile App Issues,2024-11-04,8
TICKET002396,CUST010564,Mobile App Issues,2024-05-17,5
TICKET002397,CUST003888,Incorrect Charges,2024-05-10,9
TICKET002398,CUST077025,Card Not Working,2025-05-06,4
TICKET002399,CUST013082,Mobile App Issues,2024-10-08,7
TICKET002400,CUST065411,Unauthorized Transaction,2024-07-22,9
TICKET002401,CUST005239,Delayed Refund,2024-05-07,5
TICKET002402,CUST039913,Unauthorized Transaction,2025-04-03,1
TICKET002403,CUST093959,Incorrect Charges,2024-12-25,9
TICKET002404,CUST023905,Delayed Refund,2024-05-31,8
TICKET002405,CUST083437,Card Not Working,2024-11-29,4
TICKET002406,CUST009594,Delayed Refund,2024-10-04,7
TICKET002407,CUST077870,Delayed Refund,2024-08-28,7
TICKET002408,CUST020130,Mobile App Issues,2025-04-29,7
TICKET002409,CUST067714,Mobile App Issues,2024-09-18,9
TICKET002410,CUST022229,ATM Withdrawal Failed,2024-06-11,5
TICKET002411,CUST088841,Unauthorized Transaction,2024-06-06,10
TICKET002412,CUST083248,Poor Customer Service,2025-03-01,3
TICKET002413,CUST040612,KYC Verification Delay,2025-03-16,9
TICKET002414,CUST058432,Delayed Refund,2024-06-21,7
TICKET002415,CUST069715,Poor Customer Service,2025-04-25,10
TICKET002416,CUST045076,Delayed Refund,2025-03-30,8
TICKET002417,CUST082977,ATM Withdrawal Failed,2024-09-18,1
TICKET002418,CUST030394,Account Locked,2025-02-11,4
TICKET002419,CUST034517,Incorrect Charges,2024-05-10,5
TICKET002420,CUST009025,Card Not Working,2025-03-03,7
TICKET002421,CUST042401,Poor Customer Service,2024-08-30,2
TICKET002422,CUST012031,KYC Verification Delay,2024-10-16,9
TICKET002423,CUST096502,Mobile App Issues,2024-07-30,9
TICKET002424,CUST026968,Incorrect Charges,2024-10-19,1
TICKET002425,CUST005524,Poor Customer Service,2024-05-30,0
TICKET002426,CUST002725,Loan Application Rejected,2024-07-28,6
TICKET002427,CUST079748,Incorrect Charges,2025-02-14,0
TICKET002428,CUST072505,Account Locked,2024-11-27,9
TICKET002429,CUST067359,Account Locked,2025-02-05,7
TICKET002430,CUST024627,Poor Customer Service,2024-06-22,0
TICKET002431,CUST057197,Mobile App Issues,2025-05-04,10
TICKET002432,CUST008619,Loan Application Rejected,2025-04-15,7
TICKET002433,CUST026504,Delayed Refund,2025-01-01,1
TICKET002434,CUST000107,Account Locked,2024-11-14,3
TICKET002435,CUST048874,Poor Customer Service,2024-11-02,6
TICKET002436,CUST052921,Unauthorized Transaction,2024-06-06,0
TICKET002437,CUST098689,Delayed Refund,2024-07-22,2
TICKET002438,CUST033743,Loan Application Rejected,2024-12-10,1
TICKET002439,CUST009040,KYC Verification Delay,2025-03-08,2
TICKET002440,CUST028797,Incorrect Charges,2024-05-21,2
TICKET002441,CUST093038,ATM Withdrawal Failed,2024-08-23,0
TICKET002442,CUST082356,Incorrect Charges,2025-01-26,2
TICKET002443,CUST010719,KYC Verification Delay,2024-11-02,8
TICKET002444,CUST018175,Incorrect Charges,2025-02-22,6
TICKET002445,CUST027319,Unauthorized Transaction,2024-06-01,8
TICKET002446,CUST023007,KYC Verification Delay,2024-09-15,9
TICKET002447,CUST094906,Unauthorized Transaction,2025-02-17,0
TICKET002448,CUST045579,Loan Application Rejected,2024-05-26,7
TICKET002449,CUST046169,Delayed Refund,2024-07-16,8
TICKET002450,CUST089786,ATM Withdrawal Failed,2024-11-08,2
TICKET002451,CUST043573,Card Not Working,2024-12-15,1
TICKET002452,CUST023386,Poor Customer Service,2025-02-25,2
TICKET002453,CUST030630,Unauthorized Transaction,2025-01-11,3
TICKET002454,CUST076273,Incorrect Charges,2024-12-25,7
TICKET002455,CUST051083,ATM Withdrawal Failed,2025-05-05,6
TICKET002456,CUST054649,Mobile App Issues,2024-06-09,0
TICKET002457,CUST048163,Mobile App Issues,2025-04-27,6
TICKET002458,CUST048380,Loan Application Rejected,2024-05-24,2
TICKET002459,CUST031372,Unauthorized Transaction,2024-06-16,7
TICKET002460,CUST025543,KYC Verification Delay,2025-03-18,0
TICKET002461,CUST097847,Card Not Working,2024-10-29,1
TICKET002462,CUST043304,ATM Withdrawal Failed,2024-06-11,9
TICKET002463,CUST067642,Card Not Working,2024-12-11,9
TICKET002464,CUST074704,Loan Application Rejected,2024-05-06,1
TICKET002465,CUST091686,Mobile App Issues,2025-01-23,3
TICKET002466,CUST005029,Delayed Refund,2024-05-28,10
TICKET002467,CUST058283,Delayed Refund,2025-04-15,10
TICKET002468,CUST038482,Incorrect Charges,2024-10-31,5
TICKET002469,CUST013499,Card Not Working,2025-01-21,3
TICKET002470,CUST010937,Loan Application Rejected,2025-04-27,7
TICKET002471,CUST003681,Card Not Working,2024-05-16,8
TICKET002472,CUST034437,Poor Customer Service,2025-01-15,10
TICKET002473,CUST049813,KYC Verification Delay,2024-12-26,4
TICKET002474,CUST052919,Account Locked,2024-07-30,8
TICKET002475,CUST036037,KYC Verification Delay,2024-12-25,1
TICKET002476,CUST081581,ATM Withdrawal Failed,2024-08-19,5
TICKET002477,CUST081035,Loan Application Rejected,2025-04-20,0
TICKET002478,CUST057318,Card Not Working,2024-06-15,9
TICKET002479,CUST019826,Delayed Refund,2025-03-03,10
TICKET002480,CUST018892,Poor Customer Service,2025-01-03,6
TICKET002481,CUST010348,Unauthorized Transaction,2025-02-05,6
TICKET002482,CUST085336,Poor Customer Service,2025-02-20,7
TICKET002483,CUST028800,Mobile App Issues,2024-11-05,5
TICKET002484,CUST043986,KYC Verification Delay,2024-09-13,8
TICKET002485,CUST092848,Card Not Working,2024-09-30,3
TICKET002486,CUST058414,KYC Verification Delay,2025-01-02,3
TICKET002487,CUST048164,Delayed Refund,2024-08-05,3
TICKET002488,CUST066679,Account Locked,2024-10-14,0
TICKET002489,CUST096983,ATM Withdrawal Failed,2024-11-09,1
TICKET002490,CUST038745,Delayed Refund,2024-08-28,0
TICKET002491,CUST066250,Card Not Working,2024-07-28,10
TICKET002492,CUST076972,Poor Customer Service,2025-01-24,0
TICKET002493,CUST086167,Delayed Refund,2024-12-09,10
TICKET002494,CUST042106,Loan Application Rejected,2024-09-01,4
TICKET002495,CUST081040,Unauthorized Transaction,2024-05-28,0
TICKET002496,CUST027637,Poor Customer Service,2025-05-04,2
TICKET002497,CUST052650,Loan Application Rejected,2024-05-30,7
TICKET002498,CUST027784,ATM Withdrawal Failed,2024-12-10,5
TICKET002499,CUST085843,Card Not Working,2024-11-19,3
TICKET002500,CUST084761,Unauthorized Transaction,2024-09-04,5
TICKET002501,CUST092725,ATM Withdrawal Failed,2024-06-19,6
TICKET002502,CUST061617,Card Not Working,2025-04-02,3
TICKET002503,CUST025505,Loan Application Rejected,2024-10-01,0
TICKET002504,CUST061139,Account Locked,2024-06-26,1
TICKET002505,CUST018559,Poor Customer Service,2025-05-05,7
TICKET002506,CUST002211,ATM Withdrawal Failed,2024-08-14,4
TICKET002507,CUST083877,ATM Withdrawal Failed,2025-02-21,2
TICKET002508,CUST098882,Unauthorized Transaction,2024-11-29,9
TICKET002509,CUST012318,Loan Application Rejected,2024-06-24,9
TICKET002510,CUST074421,Delayed Refund,2025-03-10,1
TICKET002511,CUST091376,Card Not Working,2024-06-25,10
TICKET002512,CUST058621,Poor Customer Service,2025-02-07,7
TICKET002513,CUST013939,Delayed Refund,2024-10-24,10
TICKET002514,CUST086280,Incorrect Charges,2025-04-17,5
TICKET002515,CUST035254,Unauthorized Transaction,2024-10-27,5
TICKET002516,CUST097177,Card Not Working,2024-06-28,3
TICKET002517,CUST015280,Unauthorized Transaction,2024-09-16,8
TICKET002518,CUST096470,Card Not Working,2024-09-02,3
TICKET002519,CUST074354,ATM Withdrawal Failed,2024-06-24,0
TICKET002520,CUST010058,Card Not Working,2024-11-16,4
TICKET002521,CUST060350,ATM Withdrawal Failed,2024-11-27,2
TICKET002522,CUST029974,ATM Withdrawal Failed,2024-10-12,7
TICKET002523,CUST073749,ATM Withdrawal Failed,2024-12-02,1
TICKET002524,CUST048291,Loan Application Rejected,2024-10-09,10
TICKET002525,CUST089022,Mobile App Issues,2024-12-20,7
TICKET002526,CUST007466,ATM Withdrawal Failed,2024-09-29,7
TICKET002527,CUST078972,Loan Application Rejected,2024-08-19,4
TICKET002528,CUST002936,Mobile App Issues,2024-09-25,7
TICKET002529,CUST035853,Loan Application Rejected,2025-01-15,10
TICKET002530,CUST008979,Unauthorized Transaction,2024-08-14,4
TICKET002531,CUST027491,Poor Customer Service,2024-10-27,8
TICKET002532,CUST081946,Card Not Working,2024-07-04,4
TICKET002533,CUST034273,Account Locked,2025-04-26,4
TICKET002534,CUST048016,Mobile App Issues,2025-03-20,1
TICKET002535,CUST052180,Delayed Refund,2024-12-09,9
TICKET002536,CUST014311,Loan Application Rejected,2024-05-07,10
TICKET002537,CUST016435,Mobile App Issues,2024-10-05,4
TICKET002538,CUST089049,ATM Withdrawal Failed,2024-10-05,2
TICKET002539,CUST062021,Unauthorized Transaction,2024-10-30,8
TICKET002540,CUST048608,Delayed Refund,2024-12-18,0
TICKET002541,CUST066952,Poor Customer Service,2025-04-15,5
TICKET002542,CUST012249,KYC Verification Delay,2025-03-02,10
TICKET002543,CUST009641,Card Not Working,2024-11-08,3
TICKET002544,CUST061548,Delayed Refund,2025-01-07,2
TICKET002545,CUST045004,Unauthorized Transaction,2025-04-03,4
TICKET002546,CUST071964,KYC Verification Delay,2024-06-17,3
TICKET002547,CUST068892,Mobile App Issues,2024-07-15,8
TICKET002548,CUST036978,Account Locked,2024-09-05,1
TICKET002549,CUST044151,Delayed Refund,2025-02-12,6
TICKET002550,CUST030214,ATM Withdrawal Failed,2025-04-29,1
TICKET002551,CUST075070,Card Not Working,2024-12-27,7
TICKET002552,CUST065560,Loan Application Rejected,2025-03-18,2
TICKET002553,CUST078348,Loan Application Rejected,2024-07-19,3
TICKET002554,CUST063035,ATM Withdrawal Failed,2025-01-18,8
TICKET002555,CUST086496,Loan Application Rejected,2024-10-19,8
TICKET002556,CUST031596,Poor Customer Service,2024-11-17,10
TICKET002557,CUST081706,Delayed Refund,2024-05-21,2
TICKET002558,CUST090724,Incorrect Charges,2024-11-12,8
TICKET002559,CUST079044,KYC Verification Delay,2025-03-16,5
TICKET002560,CUST059585,Mobile App Issues,2024-06-12,4
TICKET002561,CUST025275,KYC Verification Delay,2025-03-21,4
TICKET002562,CUST019533,Mobile App Issues,2025-03-17,0
TICKET002563,CUST057929,Card Not Working,2024-12-12,9
TICKET002564,CUST014817,Account Locked,2025-03-22,2
TICKET002565,CUST048972,Incorrect Charges,2025-05-02,4
TICKET002566,CUST024481,Card Not Working,2024-08-01,10
TICKET002567,CUST090614,Incorrect Charges,2024-10-10,10
TICKET002568,CUST005541,KYC Verification Delay,2024-10-24,2
TICKET002569,CUST037046,ATM Withdrawal Failed,2025-03-13,7
TICKET002570,CUST020239,Account Locked,2024-06-09,6
TICKET002571,CUST035627,Loan Application Rejected,2024-11-05,10
TICKET002572,CUST039897,Account Locked,2024-12-29,2
TICKET002573,CUST017082,Loan Application Rejected,2024-11-07,10
TICKET002574,CUST052631,Incorrect Charges,2024-08-17,0
TICKET002575,CUST045883,Account Locked,2025-04-10,5
TICKET002576,CUST011429,Poor Customer Service,2024-07-16,1
TICKET002577,CUST088943,KYC Verification Delay,2024-11-19,3
TICKET002578,CUST064110,Account Locked,2025-01-08,7
TICKET002579,CUST045134,Loan Application Rejected,2025-04-09,5
TICKET002580,CUST000683,ATM Withdrawal Failed,2024-05-06,0
TICKET002581,CUST051726,Unauthorized Transaction,2024-06-05,4
TICKET002582,CUST086207,Loan Application Rejected,2025-03-23,1
TICKET002583,CUST019915,Card Not Working,2024-12-10,0
TICKET002584,CUST076207,Incorrect Charges,2025-02-08,5
TICKET002585,CUST009157,Loan Application Rejected,2025-03-25,7
TICKET002586,CUST076444,Poor Customer Service,2024-07-08,5
TICKET002587,CUST012815,KYC Verification Delay,2024-10-25,1
TICKET002588,CUST046431,Poor Customer Service,2024-09-27,3
TICKET002589,CUST091527,Account Locked,2024-10-20,8
TICKET002590,CUST016375,ATM Withdrawal Failed,2024-09-24,3
TICKET002591,CUST096575,Loan Application Rejected,2024-10-11,1
TICKET002592,CUST081740,Unauthorized Transaction,2024-05-20,10
TICKET002593,CUST026110,Mobile App Issues,2025-02-20,3
TICKET002594,CUST001910,Delayed Refund,2025-02-02,10
TICKET002595,CUST045642,Mobile App Issues,2025-01-23,5
TICKET002596,CUST009555,Loan Application Rejected,2024-11-04,4
TICKET002597,CUST008141,Delayed Refund,2024-11-10,1
TICKET002598,CUST058201,Account Locked,2024-08-09,0
TICKET002599,CUST081539,Poor Customer Service,2024-11-05,5
TICKET002600,CUST061022,Unauthorized Transaction,2025-04-01,8
TICKET002601,CUST080253,Poor Customer Service,2024-11-07,9
TICKET002602,CUST084920,ATM Withdrawal Failed,2024-11-14,3
TICKET002603,CUST032641,Loan Application Rejected,2024-10-22,5
TICKET002604,CUST050659,Loan Application Rejected,2024-10-15,0
TICKET002605,CUST094517,Poor Customer Service,2025-01-13,3
TICKET002606,CUST072364,KYC Verification Delay,2024-07-09,2
TICKET002607,CUST038060,Card Not Working,2024-05-20,10
TICKET002608,CUST047979,KYC Verification Delay,2024-12-19,0
TICKET002609,CUST050971,Delayed Refund,2025-04-14,10
TICKET002610,CUST073704,Account Locked,2024-12-21,2
TICKET002611,CUST014505,Card Not Working,2024-08-08,10
TICKET002612,CUST021586,KYC Verification Delay,2025-05-03,5
TICKET002613,CUST080330,Incorrect Charges,2024-09-03,9
TICKET002614,CUST010708,Loan Application Rejected,2025-01-08,5
TICKET002615,CUST024280,KYC Verification Delay,2024-05-15,8
TICKET002616,CUST046151,Account Locked,2024-08-20,5
TICKET002617,CUST031370,Account Locked,2025-01-19,10
TICKET002618,CUST085382,Mobile App Issues,2025-01-20,2
TICKET002619,CUST092273,ATM Withdrawal Failed,2024-06-15,7
TICKET002620,CUST063852,Card Not Working,2024-12-04,8
TICKET002621,CUST005015,Mobile App Issues,2024-11-21,5
TICKET002622,CUST031488,Poor Customer Service,2024-07-18,7
TICKET002623,CUST017723,Card Not Working,2025-03-22,5
TICKET002624,CUST062431,ATM Withdrawal Failed,2024-12-18,6
TICKET002625,CUST027211,Mobile App Issues,2024-11-14,1
TICKET002626,CUST002148,KYC Verification Delay,2024-09-05,1
TICKET002627,CUST000111,Loan Application Rejected,2024-10-11,1
TICKET002628,CUST051872,Loan Application Rejected,2025-05-04,3
TICKET002629,CUST098555,Poor Customer Service,2024-07-22,9
TICKET002630,CUST064952,Account Locked,2024-05-23,4
TICKET002631,CUST095230,Poor Customer Service,2024-11-26,10
TICKET002632,CUST057823,Mobile App Issues,2024-09-03,1
TICKET002633,CUST090572,Poor Customer Service,2024-07-30,2
TICKET002634,CUST003305,Incorrect Charges,2025-04-29,6
TICKET002635,CUST068475,Delayed Refund,2025-04-11,8
TICKET002636,CUST078860,Incorrect Charges,2024-12-02,3
TICKET002637,CUST091300,Incorrect Charges,2025-03-31,4
TICKET002638,CUST049412,Card Not Working,2024-09-10,6
TICKET002639,CUST062106,Unauthorized Transaction,2024-10-23,3
TICKET002640,CUST043681,Poor Customer Service,2024-08-24,6
TICKET002641,CUST072740,Card Not Working,2025-04-03,1
TICKET002642,CUST095939,Incorrect Charges,2025-01-11,9
TICKET002643,CUST046103,Incorrect Charges,2024-12-01,4
TICKET002644,CUST042286,Mobile App Issues,2024-10-31,1
TICKET002645,CUST030440,Card Not Working,2025-04-26,6
TICKET002646,CUST011801,Poor Customer Service,2024-09-23,4
TICKET002647,CUST080671,Unauthorized Transaction,2024-09-10,2
TICKET002648,CUST042266,Incorrect Charges,2024-11-19,10
TICKET002649,CUST028340,Card Not Working,2024-10-05,7
TICKET002650,CUST010093,Poor Customer Service,2024-06-17,7
TICKET002651,CUST073468,Card Not Working,2024-10-24,8
TICKET002652,CUST003398,Mobile App Issues,2024-07-25,2
TICKET002653,CUST064862,Unauthorized Transaction,2025-04-08,6
TICKET002654,CUST085077,ATM Withdrawal Failed,2024-12-13,9
TICKET002655,CUST056770,Card Not Working,2024-06-24,1
TICKET002656,CUST047529,Card Not Working,2025-01-07,10
TICKET002657,CUST040234,Delayed Refund,2025-02-10,0
TICKET002658,CUST040985,Unauthorized Transaction,2024-10-13,7
TICKET002659,CUST064756,KYC Verification Delay,2025-04-08,10
TICKET002660,CUST069324,ATM Withdrawal Failed,2024-10-31,4
TICKET002661,CUST079131,ATM Withdrawal Failed,2024-06-05,10
TICKET002662,CUST069743,Mobile App Issues,2024-11-02,1
TICKET002663,CUST038807,Mobile App Issues,2025-03-02,10
TICKET002664,CUST079228,Account Locked,2024-05-20,1
TICKET002665,CUST049981,Unauthorized Transaction,2025-04-30,5
TICKET002666,CUST036197,Loan Application Rejected,2024-10-10,3
TICKET002667,CUST015365,Card Not Working,2024-08-25,8
TICKET002668,CUST009542,ATM Withdrawal Failed,2025-02-08,8
TICKET002669,CUST025038,Delayed Refund,2024-08-09,10
TICKET002670,CUST037694,Loan Application Rejected,2024-11-30,6
TICKET002671,CUST099912,Account Locked,2024-05-07,1
TICKET002672,CUST022562,ATM Withdrawal Failed,2025-04-17,5
TICKET002673,CUST006479,Mobile App Issues,2025-01-29,9
TICKET002674,CUST069366,Incorrect Charges,2024-07-10,1
TICKET002675,CUST054192,Loan Application Rejected,2024-11-06,6
TICKET002676,CUST023240,Poor Customer Service,2025-03-30,2
TICKET002677,CUST032730,KYC Verification Delay,2025-02-25,7
TICKET002678,CUST069076,ATM Withdrawal Failed,2024-07-11,5
TICKET002679,CUST098103,Unauthorized Transaction,2024-05-30,4
TICKET002680,CUST032248,KYC Verification Delay,2024-06-30,3
TICKET002681,CUST081209,Card Not Working,2024-06-14,5
TICKET002682,CUST014964,KYC Verification Delay,2024-09-04,8
